cancel vt.取消
economize v．节省（钱、时间等）
hello int.喂；你好（表示打招呼，问候或唤起注意）
bacterium (复bacteria)n.细菌
judgement n.裁判
works n.著作，作品
refulgence n．辉煌，光亮
alive a.活着的，存在的
pursuit n.追赶；追求；事务
stupor n．昏迷，不醒人事
tournament n.锦标赛，联赛
lugubrious adj．郁郁不乐的，悲哀的
cycle vi.骑自行车
gaffe n．（社交上令人不快的）失言，失态
world n.世界
ersatz adj．代用的,假的
astronomer n.天文学家
urgent a.紧急的，紧迫的
levee n．防洪堤，堤岸
fanatic adj．狂热的，盲信的n.狂热者
bundle n.捆，包，束；包袱
thorn n.刺，棘；荆棘；蒺藜
composer n.作曲家；调停人
skewer n．（烤肉用的）串肉杆v．用杆串好
fluency n.（外语）流利，流畅
willingness n.意愿；愿望
expressly adv．清楚地,特意地
bacon n.咸猪肉；熏猪肉
candle n.蜡烛
condescend v．屈尊，俯就
report n.&v.报道，报告
mercurial adj．善变的，活泼的
transitory adj．短暂的，＝transient
married a.已婚的
disburse v．支付，支出
full-fledged adj．羽毛丰满的，成熟的
lucre n．钱，利益
surfing n.冲浪运动
outrage n．残暴、暴行
diffuse v．散布，（光等）漫射，adj．漫射的，散漫的
scramble v．攀登，争夺
adumbrate v．（对将来事件）预示
timbre n．（音乐）音色，音质
download n.&v.下载
split v.撕开;切开
become(became,become) v.变得；成为
publication n.公布；出版；出版物
sardonic adj．讽刺的，嘲笑的
champagne n.香槟酒；微黄色
different a.不同的，有差异的
peripheral adj．不重要的，外围的
obliging adj．恳切的，热心助人的
level n.水平线，水平
sordid adj．卑鄙的，肮脏的
videophone n.可视电话
preserve v.保护，保留，保存
lever n.杆，杠杆；控制杆
luminary n．杰出人物，名人
vamp n．靴面，鞋面
jeopardize v．危及，危害
recipe n.烹饪法，食谱
roost v．n．栖息，鸟巢
ambassadress n.大使
preservation n.保存，储藏；保持
savage n.野蛮人，未开化的人
cripple n．跛子，v．（使）残废
sentry n．哨兵，步哨
zebra n.斑马
clockwise a.&ad.顺时针方向转的
cross a.脾气不好的，易怒的n.十字形的东西vt.越过；穿过
drill n.钻头；（反复的）训练vt.钻(孔)，在…上钻孔；重复训练
pitfall n．陷阱,未料到的危险或困难
hilarity n．欢乐，热闹
decrepit adj．衰老的，破旧的
earth n.地球；土，泥；大地
pulse n.脉搏，（光、能量、波等的）脉动，搏动
susceptibilities n．脆弱的感情
overthrow vt.推翻n.推翻，瓦解
worthwhile a.值得做的
stumble vi.绊倒；犯错误
vary vt.改变；使多样化
underhanded adj．不光明的，卑鄙的
vase n.（花）瓶；瓶饰
respondent n．被告
episode n.一段情节；插曲
somewhere ad.在某处
scene n.（戏剧、电影等的）一场，场景，布景
objective a.客观的；无偏见的
bathtub n.澡盆
hinder v．阻碍，妨碍
strengthen vt.加强，增强
scent n．气味，香气
exhibit vt.显示；陈列，展览
footpath n.小路，人行道
inadequate a.不充足的，不适当的
sycophant n．马屁精
subtract vt.减，减去，去掉
hurricane n.飓风，十二级风
accept vt.接受
badge n.徽章(如校徽等)
help...with .帮助（某人）做（某事）
affront v．侮辱，冒犯
access n./v.通道,入径,存取(计算机文件)
primitive a.原始的，远古的
recite v.背诵
ken n．知识，眼界
audit v.审计,核对,旁听
herbivorous adj．食草的
audio n./a.音频(响)(的)；声音(的)，听觉(的)
intake n.吸入；输入能量
key n.钥匙;答案;键;关键
dipsomania n．嗜酒狂
addicted a.上瘾，成瘾，入迷
jaunt v．短程旅游
launch vt.发射，投射；发动
nondescript adj．没有特征的，平凡的
quell v．制止、镇压
raisin n.葡萄干
misanthrope n．愤世嫉俗者
expeditious adj.迅速的,敏捷的
cricket n.板球；蟋蟀
tightly ad.紧地，牢固地
censorious adj．吹毛求疵的，苛求的
somnolent adj．思睡的，催眠的
vast a.巨大的，广阔的
declare vt.声明；断言
revelation n．显示，泄露的事实
quest v．n．搜寻，探求
posthumous adj．死后的,遗腹的
molar n．臼齿
enticement n．诱骗,诱人
pugnacity n．好斗性
dynamic adj．动态的，有活力的
conjurer n．魔术师
ironclad adj．坚固的，装铁甲的
unusual a.不平常的，异常的
striated adj．有条纹的
sector n.部门，部分；防御地段，防区；扇形
parch v．烘烤，干热
demeanor n．举止，行为
preservative adj．n．防腐的,防腐剂
athlete n.运动员
despoil v．夺取，抢夺
query n．v．质问，疑问，询问
geyser n．天然热喷泉
once n.&ad.一次,一度,从前conj.一旦
altruism n．利他主义，不自私
dismay n.惊慌，沮丧，灰心
carpet n.地毯
goldmedal 金牌
uxorious adj．宠爱妻子的
fanfare n．夸耀,嘹亮的喇叭声
Richmond .里士满（城市名）
doleful adj．忧愁的，消沉的
kid n.小孩
decompose v．（使）腐烂
vitiate v．削弱，损害
inventory n．详细目录，存货清单
austere adj.朴素的,(人)正经的
What about...?.（询问消息，征求意见）怎么样？好不好？
kin n.家族,亲属,血缘关系a.亲属关系的,同类的
shoddy n．劣质的，冒充好货的
kit n.成套工具；用具包
throughout prep.遍及，贯穿
serrated adj．呈锯齿状的
perishable adj．（食物）易坏的
blowhard n．自吹自擂者
fleece n．生羊皮，羊毛
transmit v．传送，传播
technology n.技术
apathy n．漠然，冷淡
vaccine n．牛痘苗，疫苗
specially ad.专门地，特别地
gullible adj．易受骗的
expedite v.使加速，促进
laudatory adj．表扬的，赞扬的
fringe n．（窗帘等）须边，边缘
kleptomania n．盗窃癖
meritorious adj．值得赞赏的
feedback n．（信息的）反馈
extemporize v．即席演说
folklore n．民俗学，民间传说
allopathy n．（医）对抗疗法
dreadful a.可怕的；令人敬畏的
timber n．木材，（人）品质，素质
tighten vt.&vi.(使)变紧
simulate v．假装，模仿
between prep.在（两者）之间；在…中间
inclusive a.包围住的；包括的
collar n.衣领；硬领
antibody n．抗体（身体中的抗病物质）
overhead a.在头顶上;架空的
plagiarism n．剽窃,抄袭
pillage n．v．抢劫，掠夺
putrefy v．使腐烂
intact adj．完整的,未动过的
invocation n．祈祷
ecdysis n．（动物）蜕皮，换羽毛
seventeen num.十七
juvenile adj．少年的，似少年的
intestine n．肠
trudge v．跋涉
wear (wore,worn)v.穿，戴
wean n．断奶，戒掉
weak a.差的，弱的，淡的
overseas ad.海外a.在海外的
overhear vt.偶然听到；偷听
leak vi.漏；渗
martinet n．要求严格服从纪律的人
lean v．倾斜，斜靠adj．瘦骨嶙峋的
leap vi.跳，跃n.跳跃
nonskid adj．（轮胎）防滑的
objection n．厌恶，反对
tired a.疲劳的，累的
aggression n.侵略
leaf (复leaves)n.（树，菜）叶
lead vt.为…带路；领导
spaceship n.宇宙飞船
sunlight n.日光，阳光
riotous adj．暴乱的，蛮横的
queue n.行列，长队
passage n.（文章等的）一节，一段；通道；走廊
adequate a.合适的，合乎需要的
calumny n．诽谤，中伤
incognito adj．n．隐姓埋名的，化名
piazza n．阳台，广场，市场
impecunious adj．不名一文的，贫困的
palings n．篱笆，木栅栏
substantiate v证实，确证
only a.惟一的，仅有的ad.仅仅，只，才
furious a.狂怒的；狂暴的
e-mail/e ]n.电子邮件
proboscis n．(象)长鼻,(昆虫等)吸管
shuck n．（植物的）壳、夹，无用之物
declaim v．高谈阔论，雄辩，大声说
testimony n．证言，证明
mutinous adj．加入叛变的，反抗的
harpoon n．（捕鲸的）鱼叉
week n.星期，周
gigantic a.巨大的；巨人似的
weep v.哭泣，流泪
hoist v．吊高，升起。n．起重机
leer v．斜眼看，睨视
spokenman n.发言人
weed n.杂草，野草
unconscious a.昏迷,不省人事的
balloon n.气球
berserk adj．狂怒的，疯狂的
unprovoked adj．（生气等）无缘无故的
standardize vt.使与标准比较
fearful a.害怕的，可怕的
accent n.口音，音调
lorry n.（英）运货汽车，卡车
protuberance n．节疤,突出,凸出
corresponding a.相应的；符合的
explosive n.de-tona-tora.爆炸的
reuse vt.重新使用；循环使用
spoke n．（车轮上）幅条，阻碍物
fifty num.五十
pennant n．（船上用的）信号旗
stalemate n．和棋局面，僵局
licit adj．不禁止的，合法的
postman n.邮递员
would modalv.（will的过去时）将会，打算，想要，过去常常
rabbit n.兔，家兔
customs n.海关，关税
eyewitness n.目击证人
warrant n．正当理由，逮捕证
successfully adv.圆满地；顺利地；成功地
solid a.结实的,固体的n.固体
meanwhile ad.同时
sniff v.抽鼻子（哭,患感冒时）
ulcerate v．溃烂，生恶疮
narrative a.叙述性的n.叙述
calcify v．使硬化，钙化
circular a.圆的；循环的
conspirator n．阴谋者，谋叛者
irritable adj．易怒的，易受刺激的
left a.左边的ad.向左n.左,左边
eaves n．屋檐
legible adj．可辩认的，易读的
eavesdrop v．偷听，窃听
eleven num.十一
statute n．法规，法令
tickle vt.挠，胳肢；逗乐
accessible a.可到达的，可接受的，易相处的）
statistical a.统计的，统计学的
anchorite n．隐士
Frenchman (复Frenchmen)n.法国人（男）
example n.例子；榜样
plush adj．豪华的
quiet a.安静的；寂静的
resigned adj．逆来顺受的，顺从的
glucose n．葡萄糖
provocative adj．激怒的、挑战的
address n.地址
federa la.中央的（政府）联邦的
take(took,taken) vt.拿；拿走；做；服用；乘坐；花费
rabble n．乌合之众，暴民，下等人
ramble n．v．漫步，散步
throw v.投；掷000
dynamic(al) a.机能上的
stature n．身高，身材
fifth num.第五
quarantine n．隔离检疫期，隔离
illegitimate adj．不合法的，私生的
landlocked adj．被陆地包围的
confront v．面临，对抗
onus n．义务，责任
cathartic n．泻药
groveler n．乞怜者．
provocation n．激怒
illiterate adj．文盲的
intersection n．横断,十字路口
pervade v．弥漫，普及
implement n．工具，器具v．实现，实施
export n./v.出口，输出
sagacious adj．聪明的，睿智的
defection n．脱党，变节
figurehead n．名义领袖
nestle v．舒适地安顿，依偎在
approachable adj．可接近的，随和的．
foyer n．门厅，休息室
onto prep.到…的上面
sparse adj．稀少的，贫乏的
incision n．切口，切割
cowardice n．胆小，懦弱
warden n．看守人，管理员
matador n．斗牛士
elasticity n.弹性伸缩力
indispensable adj．不可缺乏的
lens n.透镜，镜片；镜头
spoil v.糟蹋
lend (lent,lent)vt.借(出),把…借给
preponderate v．(数量上,重要性上)压倒,超过
infirmity n．虚弱
pilot n.飞行员
ticket n.票；卷
approval n.赞成，同意；批准
necromancy n．巫术，通灵术
snide adj．讽刺的，含沙射影的
concentrate v.聚精会神
expose vt.揭露
magnet n.磁铁，磁石，磁体
weld v．焊接，熔接，结合
explosion n.爆炸，爆发，炸裂
discomfiture n．狼狈，难堪
automate vt.使自动化
well (better,best)ad.好,令人满意地,完全地a.好的,,健康的int.表示惊讶同意或犹豫等,亦用于接话语;好吧,那么,哎呀n.井
outlook n.观点，看法；展望
amateurish adj．业余爱好的，不熟练的
observance n．遵守，奉行（法律，习俗）
porcelain n．瓷,瓷器
xerox vt.&vi.用静电复印
gadget n．小工具，小机械
hilarious adj．充满欢乐的，引起大笑的
sunburnt a.晒黑的
pioneer n.先锋，开拓者
rainy a.下雨的；多雨的
belongings n．所有物，财产
experiment n.实验
faultless a.无过失的；无缺点的
flour n.面粉，粉
promiscuity n．滥交,混杂
fierce a.猛烈的
flout v．蔑视，违抗
Microsoft n.微软公司
went .动词go的过去式
distant a.远的，遥远的
doldrums n（海洋上的）无风带，情绪低沉
custody n．监管，保管
destine vt.命定，注定；预定
aeon n．千万年，永久
mutation n．突变，变异
blotch n.（皮肤上的）红斑点，（墨水等）斑点
fermentation n．发酵
scion n．嫩芽，子孙
presto n．(音乐)快拍,急速
averse adj.厌恶的,反对的
enlightenment n.教化，启蒙
wera v.穿
respectively ad.各自地，分别地
matter n.要紧事，要紧,事情；问题vi.要紧，有重大关系
irony n．反话，出人意料的事情或情况
bandage n.绷带
caterpillar n．毛虫，蝴蝶的幼虫
gramophone n.留声机
conjunction n.接合，连接；连接词
noise n.声音，噪声，喧闹声
spout v．喷出，滔滔不绝地讲
meadow n．草地，牧草场
product n.产品，制品
quilt n.被子；被状物
lover n.爱好者；情人；情侣
vinegar n.醋
hyphen n．连字号，即“-”
premier n.首相，总理
fatuity n愚蠢，愚味
quill n．（豪猪等动物的）刺
hydrate n．水化物
noisy a.喧闹的，嘈杂的
produce vt.生产；制造
hippopotamus n．河马
thanksgiving n.感谢；感恩
snips n．铁剪
mendicant adj．行乞的n．乞丐
sluggard n．懒鬼
infiltrate v．渗透，渗入
spoof v．揶揄，嘲讽
fuel n.燃料
hostile adj．敌对的，敌意的
spool n．（缠录音带等的）卷盘（轴）
flora n．（某地区或时代的）植物群
celestial adj．天体的，天上的
lab “＝”laboratoryn.实验室
decode v．译解（密码）
employee n.受雇者，雇员，雇工
pray v.祈祷；祈求
lad n.男孩,小伙子
bulwark n．堡垒，保障
hydrant n．水龙头，消防栓
monologue n．独白，个人长篇演说
lag vi.走得慢n.落后
ambitious a.有雄心的；热望的
function n./v.作用,功能,运转
raise vt.使升高；饲养
spoon n.匙,调羹
west a.(在)西；向西,从西来的ad.在西方,向西方n.西部；西方
delinquency n．失职，罪行
quite ad.完全，十分
grisly adj．恐怖的，可怕的
employer n.雇佣者，雇主
lap n.(人坐时)膝部.(跑道的)一圈
pitcher n．有柄水罐
pliant adj．易受影响的,易弯的
psephology n．选举学
spoor n．（野兽的）足迹
surfer n.冲浪者
lax adj．懒散的，松弛的
law n.法律，法令；定律
pomposity n．自大,傲慢
comparison n.比较，对照；比似
granary n．谷仓，主要来源
lay (laid,laid)vt.放，搁
lest conj.惟恐，以免
less （little的比较级）a.&ad.少于,小于
adventure n.冒险；奇遇
condition n.条件，状况
thirsty a.渴
presupposition n．预先假定,臆测
improve vt.改进，更新
were .动词be(are)的过去式
abdicate v．让位，辞职，放弃
environs n．郊外,郊区
piercing adj．刺骨的，敏锐的
lavatory n.便所，厕所
censure n．v．责难，非难
bankaccount n.银行账户
technique n.技术;技巧,方法
troop n.部队
shorthand n.速记，速记法
levy v．n．征税、征兵
quirk n．奇事，怪癖
wound vt.伤,伤害n.创伤,伤口
malinger v．装病以逃避工作
generous a.慷慨大方的
coincidence n.巧合，巧事
detrimental adj．损害的，造成伤害的
floor n.地面，地板.（楼房的）层
gnome n．地下宝藏的守护神，地精，格言
capitulate v．（有条件地）投降。
lengthy adj．很长的，冗长的
doctor n.医生，大夫；博士
gander n．雄鹅v．闲逛
saliva n．唾液，口水
lining n.(衣服里的)衬里
foment v．煽动，助长（坏事）
equilibrium n．平衡
sport vn.体育运动，锻炼；(复，英)运动会
janitor n．管理员，管门人
cluster n.串，束，群，v.成群，成串
prey n．被捕食的动物,牺牲者
attire v.穿着,装扮n.衣服
playroom n.游戏室
lieutenant n.陆军中尉；副职官员
expedition n.远征,探险
absorb v.吸收，使全神贯注
leg n.腿；腿脚；支柱
unfailing adj．无尽的，无穷的
radial a.光线的；放射的
liable adj．易于……的，有（还债）责任的
merge v合并，淹没
let v.让
quagmire n．沼泽地，困境
remittance n．汇款
press vt.压,按n.新闻界,出版社
dock v．剪短，扣除…的一部份
opulence n．富裕
exclaim vi.呼喊；惊叫
ballet n.芭蕾舞
courtesy n.礼貌，谦恭，请安
lucubration n．刻苦研究
minutia n．微枝末节，细节
cartridge n.弹药筒，子弹；软片
lewd adj．好色的，猥亵的
enroll vt.登记，招收vi.参军
horrendous adj．可怕的，令人惊惧的
bravado n．故作勇敢，逞能
ardent adj．热心的，热烈的
nudity n．裸露
subtraction n.（算数中的）减
clay n.黏土，陶土
promote v.促进,推动,促销,晋升
scenario n．剧情说明书，剧本
does do的第三人称单数现在式)
gollop v．n．大口吞咽
graphic adj．图表的，生动的
situation n.形势，情况
legislation n.立法；法规
quiz n.测验，小型考试
clause n.(正式文件或法律文件的)条款;从句,分句
empathy n．心意相通,(感情等)融为一体
dodge v．闪开、躲避
consolidate v．巩固，合并
perplexed adj．困惑的
timetable n.（火车、公共汽车等）时间表；（学校）课表
claw n.爪
lyric adj．抒情的，n．抒情诗
clap vi.拍手；鼓掌
quit v.离任，离校，戒掉
clam n.蛤，蚶
pluck v．拨毛n．勇气,勇敢
fashion n.样子，方式；风尚
insurance n.保险
southwest n.西南
medical a.医学的，医疗的
deterrent adj．威慑的，制止的
laminate v．切成薄板（片）
lid n.盖子
lie (lay,lain)v.躺;卧;平放;位于n.&vi.谎言;说谎
carnation n．康乃馨（一种花）
source n.河的源头；根源
smell (smelt,smelt或-ed,-ed)v.嗅，闻到；发气味n.气味
detergent a．净化的，n．清洁剂
lip n.嘴唇
prim n．端庄的,整洁的
prig n．自以为比别人更有道德的人
smelt v．熔解，熔炼
fume v．n．愤怒，冒烟
bias n./v.(使有)偏见,偏心,偏袒
ravenous adj．饿极了的，贪婪的
acquired adj．后天习得的
pullulate v．繁殖,剧增
doff v．脱掉（外衣，帽子）
opinionated adj．固执已见的
ballad n.歌谣,小曲
winsome adj．媚人的，漂亮的
merit n.长处，优点；功过
verbal a.用言辞的,用文字的;口头的;动词的
develop v.（使）发展；（使）发达；（使）发育；开发vt.冲洗（照片）
hydrocarbon n.烃，碳氢化合物
ampere n.安培
purveyance n．粮食的供给
numerology n．命理学
district n.区；地区；区域
overall n.工装裤a.全面的
predestine v．注定
full a.满的，充满的；完全的
destiny n.命运，天数
resistant a.抵抗的，反抗的
aesthete n．审美家
sable n．黑貂，adj．黑色的
grocer n.零售商人；食品店
inflame v使燃烧，激怒（某人）
convention n.习俗，惯例；公约
antiseptic n．杀菌剂，adj防腐的
mooncake n.月饼
calcium n．钙
flaunt v．炫耀，张扬
manage v.管理；设法对付
fund n.资金；基金；存款
FALSE a.谬误的,虚伪的,伪造的,假的
mesmerize v．对…催眠，迷住
incur v．招惹
plump adj．颇胖的,丰满的
cabbage n.卷心菜，洋白菜
dilettante n．半瓶醋，业余爱好者
recoil v．退却，退缩
phial n．小瓶（药水瓶）
rubbery adj．强韧的
plume n．羽毛v．整理羽毛,骚首弄姿
three num.三
ordeal n．严峻考验，痛苦经验
nonobservance n．不遵守，违犯（规则等）
plumb adv．精确地,完全地v．了解意义,测水深
truncate v．把（某物）截短，去尾
whoever pron.究竟是谁
premise n.前提,房屋连地基v.提论,预述,假定
season n.季；季节
controversial a.引起争论的,有争议的
lonely a.孤独的，寂寞的
imbecile n．心智能力极低的人
intransigent adj．不妥协的，固执的
tenant n.承担人，房客，佃户
cowboy n.（美国）牛仔;牧场骑士
threw v.投,掷,扔
deputy n．代理人，代表，副警长
relict adj．残存的
auger n.螺丝钻,钻孔机
buy(bought) vt.买
metallic a.金属的n.金属粒子
mythology n．神话，神话学
whimper v．悲嗥，鸣咽
shuttle vn.合拢（往返与两个定点之间的）（火车汽车飞机）班车/机
provide vt.提供
famished adj．非常饥饿的
muffle v．使声音降低，裹住
abjure v．誓绝，弃绝
log n．v．日志，
translator n.翻译家，译者
reliability n.可靠性
paperwork n.日常文书工作
solar a.太阳的
dome n．圆屋顶
shelve v．搁置
lot n.许多，好些
fuse n.保险丝，导火线
computer n.电子计算机
premium n．保险费,奖金
wholesale n．批发，adj．大批的
low a.&ad.低；矮
prop n．支撑物，靠山v．支持
solidarity n．团结，一致
tumble vi.摔倒，跌倒；打滚
contradiction n.矛盾，不一致；否认
depute v．派…为代表或代理
fuss n．大惊小怪，过份照顾
doll n.玩偶，玩具娃娃
initial a.开始的，最初的
incisive adj．一针见血的
rudimentary adj．初步的，未充分发展的
fury n.狂怒，暴怒；猛烈
orphan n.孤儿
school-leaver n.(英)学校毕业生
redress v．n．改正，修正
mien n．风采，态度
pleonastic adj．赘语的,噜嗦的
cut(cut,cut) v./n.切，剪，削，割,伤口
dolt n．笨蛋，傻瓜
clip vt.剪；剪辑报刊
door n.门
quick a.快；敏捷的；急剧的ad.快地；敏捷地；急剧地
recapitulate v．扼要重述
alliance n.同盟，同盟国；结盟，联姻
sabre n．军刀，击剑用刀
doom n.命运，毁灭vt.注定
omniscient adj．无所不知的、博识的
encomium n．赞颂，颂辞
experience n.经验；经历
merry a.高兴的，愉快的
upsurge n．（情绪）高涨
indentation n．锯齿状，缺口
wasteful a.浪费的；破坏性的
denote vt.指示，意味着
zone n.区域；范围
curiosity n.好奇，好奇心；珍品
amiable adj．和蔼的，亲切的
particular a.特殊的，个别的
p.m. n.下午,午后
done (do的过去分词)v.&aux.做，干
pause n.&vi.中止，暂停；停止
August n.8月
fumble v．摸索，搜寻
mapleleaves 枫叶
rainbow n.虹，彩虹
correlate n．相关的事物
westerner n.西方人
ample a.足够的，丰裕的
fetter n．脚镣，束缚
superman n.超人
mathematics (“＝”math/maths)n.（常作单数用）数学,(英美口语)数学
fulcrum n．杠杆支点，支柱
unalloyed adj．未掺杂的，纯粹的
jealousy n.妒忌，嫉妒，猜忌
bike n.自行车
photoelectric a.光电的
relief n.轻松,解脱,缓和,救济
preposterous adj．荒谬的,可笑的
unbelievable a.难以置信的
rhapsodize v．过份赞美
villager n.村民
cumber vt．拖累，妨碍
zoom v.快速移动，迅速前往，猛涨
aristocrat n．贵族
invalidate v．使无效力，证明无效
someone pron.某一个人
gratitude a.感激，感谢，感恩
interaction n．相互作用（影响）
apartment n.（美）楼中单元房，一套房间；房间
fitting a.适当的n.配合
muniments n．契据，房契
gallantry n勇敢，殷勤
mime n．比划手脚（以表达），哑剧（演员）
compassion n.同情，怜悯
vinegared adj．酸的，尖刻的
declivity n．倾斜面，斜坡
impulsive adj．易冲动的，感情用事的
dote v．溺爱，昏愦
bind vt.捆绑；包扎；装钉
palliate v．减轻（痛苦），掩饰（罪行）
record n.记录；唱片
conceivable adj．想像得出的，可信的
principally ad.主要，大抵
prevention n.预防，阻止，妨碍
synchronize v．使同步
clot n.凝块，v.使凝成块
gadfly n．虻，牛虻
mile n.英里
nineteen num.十九
mild a.温和,暖和的,凉爽的
milk n.牛奶vt.挤奶
bill n.账单；法案，议案；（美）钞票，纸币
dorm n.宿舍
whichever pron.无论哪个;无论哪些
tributary adj．n．支流（的），进贡（的）
stiffness n.硬度
bile n．胆汁
mill n.磨坊；制造厂
dose n．（药）剂量，一剂
smear n．油渍，污点v．弄脏，玷污
adult n.成年人
cloy n.(吃甜食)生腻，吃腻
willful adj．任性的，故意的
relative n.亲属，亲戚
lueky adj.幸运的、侥幸的
radish n.小萝卜
bequeath v．遗赠（留）
mint n.造币厂；巨额，富源
October n.10月
dove n.鸽子，斑鸠
chaotic adj．混乱的
mine n.矿藏,矿山vt.开采(矿物)pron.我的
grateful a.感激的，感谢的
mind n.思想,想法v.介意,关心
waitress n.女服务员
emergence n．出现
retailer n．零售商
medieval adj．中世纪的，中古的
operational a.操作上的；可使用的
involve vt.使卷入；牵涉
elude v.逃避,
Makaha n.马卡哈(美国)
obsequious adj．逢迎的，谄媚的
amnesia n：健忘症
retrograde adj．后退的，v．倒退
sedition n．煽动叛乱
freckle n．雀斑，斑点
teetotal adj．滴酒不沾的
radium n.镭
stocking n.长统袜
emergency n.紧急情况或状态
paralyze v．使瘫痪，使无效
down prep.沿着，沿…而下ad.向下
faculty n.才能，能力；系，科
acceleration n.加速；加速度
habit n.习惯，习性
bird n.鸟
clue n.线索，暗示，提示
club n.俱乐部；纸牌中的梅花
bracket n.(方)括号
radius n.半径
signal n.信号，暗号
fortitude n．坚毅，坚忍不拨
lunacy n．疯狂，愚行
Alike a.同样的，相像的ad.一样地；同程度地　
dyslexia n．阅读
cajole v．（以甜言蜜语）哄骗
soluble a.可溶的；可以解决的
intriguing adj．引起极大兴趣的
comely adj.动人的，美丽的
month n.月，月份
pretentious adj．做作的,自抬身价的
solvent adj．有偿债能力的，n．溶剂
importance n.重要性
worthy a.值得的
title n.标题，题目
mist n.雾
miss vt.失去，错过，缺
seatch v.搜查；搜索
preen v．整理羽毛,(人)打扮修饰
aqueduct n．高架渠，渡槽
bite v.咬；叮
doze v./n.瞌睡;假寐
nuclear a.原子核的，原子能的，核动力的
spelling n.拼写，拼读
custom n.习惯，习俗，风俗习惯
permission n.允许,许可,同意
abode n．住处，住所
eastwards ad.向东
apprehend v．逮捕，恐惧
rewind v.回转（磁带等）
tranquillizer n．镇定剂
fiend n．恶魔，魔鬼
universe n.宇宙
arduous adj．费力的，艰难的
faction n．派系，派系斗争
interpret vt.解释，说明；口译
atrocious adj.残忍的,凶恶的
mire n．泥沼，困境
gardenia n．栀子花
convert v．使改变（信仰等）n．改变信仰的人
charisma n．（大众爱戴的）领袖气质，魅力
relish n．v．味道，喜好，享受
division n.（算术用语）除
distillation n．蒸馏
pancreas n．胰脏
savanna n．热带或亚热带之大草原
usually ad.通常，经常
cookie n.小甜饼
rectification n．改正，校正，提纯
printer n.打印机
torrent n.奔流，激流，洪流
sense n.感觉，意识
classification n.分类，分类法
corpuscle n．血球，细胞
physically ad.物质上；体格上
field n.田地；牧场；场地
baseball n.棒球
evaluate v.估值，评价，评估
mite n．极小量，小虫
ooze v．慢慢地流，渗出，（勇气）逐渐消失
renown n．名望，声誉
amalgamate v．合并，混合
smolder v．无火焰地闷烧，压抑
petrify v．石化，吓呆
tussle n．v．扭打，搏斗，争辩
centrifugal adj．离心的
cloying adj.甜得发腻的
tailor n.裁缝
emolument n．报酬，薪水
mention n.提及；记载vt.提到，说起；提名表扬
mad a.发疯的；生气的
laundry n.洗衣店;要洗的衣服
herald n．传令官，预示
man (复men)n.成年男人;人类
map n.地图
leisure n.空闲时间；悠闲
mar v．破坏，损伤
mat n.垫子
Alien n.外侨，外国人；外星人a.外国的；相异的
spatchcock v．把（文字）插入
may v.aux.可以；可能；也许
Roman n.古罗马人a.罗马的
bless vt.保佑，降福
virtuoso n．演艺精湛的人，大师
inundation n．淹没（
snowman n.雪人
opera n.歌剧
presumably ad.推测起来，大概
bonus n.津贴，奖金，红利
presumable adj．可能的,可假定的
residence n．住宅，居留
ideal a.理想的；观念的
comedy n.喜剧
equipment n.装备，设备
masticate v．咀嚼，把……磨成浆
pressure n.压迫,压力,压强
paralyse vt.使麻痹，使瘫痪
falsification n．窜改
fencer n．剑客，击剑者
literacy n.有文化,有教养,有读写能力
millionaire n.百万富翁
bilious adj．多胆汁的，坏脾气的
stodgy adj．艰涩难懂的，乏味的
wrangle v．争论，激辩，吵架
cocaine n.可卡因，古柯碱（用作局部麻醉剂）
blend vt.&vi.&n.混和
senseless a.愚蠢的，无意义的
bacchanalian adj.狂欢的,行为放纵的
overact v．把（角色）表演得过火
incandescent adj．白热的，热烈的
incursion n．侵犯，入侵
airborne adj．空气传播的，（部队）空降的
men n.(pl)男人；人（man的复数形式）
physical a.身体的；物理的
collude v.串通，共谋
twaddle n．胡说八道，瞎扯
wicked a.坏的；令人厌恶的
corrugation n．波浪形状，起皱纹
exactly ad.精确地；确切地
asphyxia n．窒息
structure n.结构；构造vt.建造
bellicose adj．好战的，好斗的
fright n.惊恐；恐吓
waken vi.醒来vt.弄醒
authentic a.真正的，真品的
contingency n．意外事件，可能性
biscuit n.饼干
mercy n.怜悯
magniloquent adj．夸张的
slake v．解渴，消渴
about ad.大约；到处；四处prep.关于；在各处；四处
weekday n.平日
danger n.危险
roller-skating .滑旱冰
patch n．补丁，一小片（土地）
precipitation n．急躁,降雨(量)
consummate adj．完全的，完美的，v．完成
above prep.在……上面a.上面的ad.在……之上
beater n.搅拌器
bedclothes n.铺盖（被褥等）
height n.高，高度
moderate adj．不过份的，有节制的v．减轻，节制
comprise vt.包含，包括；构成
resident a.居住的n.居民
expurgate v．净化，删去
receiver n.电话听筒
beaten v.敲打；跳动；打赢n.（音乐）节拍
invent vt.发明，创造
outer a.外部的，外面的
wonderful a.美妙的，精彩的；了不起的；太好了
flood n.洪水vt.淹没，使泛滥
booth n.岗；（为某种用途而设的）亭或小隔间
elitism n.精英论,优秀人士统治
illicit adj．违法的，违禁的
miller n．磨坊主人
animal n.动物
boost v．往上推，增加，提高
mollusk n．软体动物
discomposure n．失态，慌张
association n.协会，社团，联系
eliminate v.除去,淘汰
believe v.相信，认为
Titanic n.泰坦尼克号（船名）
augment v.增大,增值
butterfly n.蝴蝶
